Alloys,Hardness (HV),Phase,Fabrication_type,DOI,Paper
(CuMnNi)80Zn20,109,FCC,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Cu26.6Mn26.6Ni26.6Zn20,109,FCC,CAST,Beniwal: Train,
CuMnNiZn0.25,109,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-224,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.25CoCrFeNi,111.5,FCC,CAST,Beniwal: Train,
Al0.1CoCrFeNi,117,,CAST,https://doi.org/10.1016/j.jmst.2021.01.185,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CoCrFeNi,117,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-202,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al5.66Co18.87Cr18.87Fe18.87Mn18.87Ni18.87,125,,CAST,Beniwal: Test,
CoFeNi,125,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-353,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.4CoCrFeNi,128,,CAST,https://doi.org/10.1016/j.jmst.2021.01.186,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al8Co25Cu18Fe25Ni25,129,,POWDER,Beniwal: Test,
CoCr0.2FeNiSi0.2,130.1,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-150,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrCuFe,134,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-49,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.25CoFeNi,138,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-357,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.139Cr0.446Cu0.99NiSi0.277,142.5,,WROUGHT,https://www.nature.com/articles/s41597-020-00768-63,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
(CuMnNi)75Zn25,147,FCC,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Cu25Mn25Ni25Zn25,147,FCC,CAST,Beniwal: Train,
CuMnNiZn0.333,147,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-225,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeNiSi0.25,149,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-352,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiV0.25,151,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-301,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cr20Co19.3Fe19.6Mn17Ni19.52V4.6,151,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
CoCrFeNi,156,,CAST,Beniwal: Test,
Al0.5CoCrCuFeNi,160,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-195,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMn0.8NiPd,160,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-145,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNi,160,FCC,CAST,Beniwal: Train,
Al0.2CrCuFeNi2,161,,CAST,https://doi.org/10.1016/j.jmst.2021.01.190,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CoCrFeMo0.1Ni,162,,CAST,https://doi.org/10.1016/j.jmst.2021.01.191,Machine learning of phases and mechanical properties in complexconcentrated alloys
FeCoNiCuMo0.2,162,,CAST,Beniwal: Test,
Al0.375CoCrFeNi,163.5,FCC,CAST,Beniwal: Train,
(CuMnNi)95Al5,166,FCC,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.053CuMnNi,166,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-221,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cu31.6Mn31.6Ni31.6Al5,166,FCC,CAST,Beniwal: Train,
AlCo3.0CuFeNi,166.4,,CAST,https://doi.org/10.1016/j.jmst.2021.01.192,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CrCuFeNi2,168,,CAST,https://doi.org/10.1016/j.jmst.2021.01.193,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.04(CoCrFeMnNi),171,,CAST,https://doi.org/10.1016/j.jmst.2021.01.194,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.20CoCrFeMnNi,171,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.2CoCrFeMnNi,171,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-313,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrCu0.5FeNi,172,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-291,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeNiTi0.5,178,BCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-323,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.02(CoCrFeMnNi),180,,CAST,https://doi.org/10.1016/j.jmst.2021.01.196,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.10CoCrFeMnNi,180,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.3CoCrCuFe,180,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-61,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3CoCrCuFeNi,180,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCrFeMn0.6NiPd,180,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-146,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTa0.1,180,,CAST,https://doi.org/10.1016/j.jmst.2021.01.198,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.07(CoCrFeMnNi),182,,CAST,https://doi.org/10.1016/j.jmst.2021.01.199,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.38CoCrFeMnNi,182,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-312,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al10Co17Fe35Mo6Ni34,182,,CAST,Beniwal: Test,
